OM,CODOM,CODUG,SIGLA_UG
4º CGCFEx,62190,160111,Cmdo 4ª Bda Inf L Mth
4º CGEO,48439,160011,4º CGEO
4º CTA,15354,160322,HCE
4º D Sup,40642,160120,4º D Sup
4º Esqd C Mec,50039,160111,Cmdo 4ª Bda Inf L Mth
4º GAAAe,55541,160127,4º GAAAe
4º GAC L Mth,5611,160103,50º BIS
4º Pel PE Mec,65839,160149,Cmdo 4ª Bda C Mec
4º RCB,69708,160431,4º RCB
4º RCC,69005,160404,4º RCC
50º BIS,10207,160186,Ba Adm / QGEx
51º BIS,10306,160191,CPOR / R
51º CT,15289,160312,EsACosAAe
52º BIS,10405,160192,Ba Adm Ap / 5ª RM
52º CT,15297,160313,ECEME
53º BIS,10504,160194,Cmdo 7ª RM
54º BIS,10603,160195,Cmdo CMNE
55º BI,6213,160116,17º B Log L Mth
57º BI Mtz (Es),9605,160168,H Gu Marabá
58º BI Mtz,9183,160161,2º BIS
59º BI Mtz,9209,160163,Cmdo 8ª RM
5ª Bia AAAe L,13037,160263,11º GAC
5ª Cia Com Bld,32169,160214,5ª Cia Com Bld
5ª Cia Intlg,32961,160195,Cmdo CMNE
5ª Cia PE,37606,160192,Ba Adm Ap / 5ª RM
5º B Log,11106,160199,HMAR
5º B Sup,12963,160254,1º BI Mec (Es)
5º BE Cmb Bld,4184,160081,23º Esqd C Sl
5º BEC,3707,160074,Pq R Mnt/8
5º BIL,7260,160130,36º BI Mec
5º CGCFEx,62216,160222,5º B Sup
5º CGEO,48470,160278,5º CGEO
5º CTA,15362,160323,H Ge do Rio de Janeiro
5º Esqd C Mec,50112,160216,5º Esqd C Mec
5º GAAAe Sl,13383,160282,Cmdo 5º Gpt E
5º GAC AP,58107,160217,5º GAC AP
5º RC Mec,70458,160401,5º RC Mec
5º RCC,69104,160234,5º RCC
62º BI,6403,160118,Cmdo 4ª RM
63º BI,6502,160120,4º D Sup
6ª Bia AAAe AP,13177,160267,2º BI Mtz (Es)
6ª Cia Com,31542,160100,Cmdo 3ª Bda Inf Mtz
6ª Cia Com Mec,31559,,
6ª Cia E Cmb Sl,34926,160520,23º B Log SI
6º B Com,2055,160056,2º CGEO
6º BE Cmb,2907,160065,Cmdo 11ª RM
6º BEC,3806,160076,DCT - UGE
6º BIL,7278,160131,17º RC Mec
6º BIM,7369,160137,3º BIS
6º BPE,12323,160223,H Ge Curitiba
6º CGCFEx,62224,160038,6º D Sup
6º CTA,15370,160324,IBEx
6º D Sup,40667,160038,6º D Sup
6º Esqd C Mec,50146,160262,1º RCC
6º GAC,55707,160403,6º GAC
6º GMF,58529,160479,Cmdo Art Ex
6º Pel PE,65771,160098,Ba Adm / C Op Esp
6º RCB,69807,160358,6º RCB
71º BI Mtz,9407,160165,8º B Sup Sl
72º BI Caat,9423,160166,H Ge Belém
72º BI Mtz,9415,160183,72º BI Mtz
7ª Cia Com,31609,160225,Ba Adm / Curado
7ª Cia Intlg,32987,160148,Ba Adm Ap / CMP
7º BE Cmb,3004,160066,CRO/11
7º BEC,3913,160077,CMC
7º BIB,6718,160121,H Ge Juiz de Fora
7º BPE,12331,160225,Ba Adm / Curado
7º CGCFEx,62232,160225,Ba Adm / Curado
7º CTA,15388,160327,IME
7º D Sup,40675,160198,7º D Sup
7º GAC,55806,160225,Ba Adm / Curado
7º Pel PE,65623,160344,Cmdo 7ª Bda Inf Mtz
7º RC Mec,70508,160435,7º RC Mec
8ª Cia Com,31617,160360,6º B Com
8ª Cia Intlg,32995,160196,Ba Adm Ap / CMN
8° BPE,12922,160457,Ba Adm Ap / Ibirapuera
8º B Log,11205,160200,Pq R Mnt/7
8º B Mnt Sl,65037,160074,8º B Mnt Sl
8º B Sup Sl,40691,160165,8º B Sup Sl
8º BEC,4002,160171,8º BEC
8º BPE,12922,160250,1º B Com
8º CGCFEx,62240,160161,2º BIS
8º Esqd C Mec,50252,160377,8º Esqd C Mec
8º GAC Pqdt,58206,160296,Ba Adm / Bda Inf Pqdt
8º Pel PE,65631,160380,Cmdo 8ª Bda Inf Mtz
8º RC Mec,70607,160437,8º RC Mec
8ºBEC,4002,160078,CMCG
9ª Bia AAAe (Es),13094,160265,15º RC Mec (Es)
9º B Com GE,2071,160057,3º Esqd C Mec
9º B Log,11304,160202,3º BEC
9º B Mnt,65078,160136,Cmdo 9º Gpt Log
9º B Sup,12989,160255,1º BPE
9º BE Cmb,3103,160067,DEC - UGE
9º BEC,4101,160079,CMSM
9º BI Mtz,7500,160143,HMACG
9º BPE,65490,160530,Ba Adm Ap / CMO
9º CGCFEx,62257,160530,Ba Adm Ap / CMO
9º GAC,55822,160151,9º GAC
9º Pel PE,65516,160295,Cmdo GUEs/9ª Bda Inf Mtz
9º RCB,69906,160430,9º RCB
AC DEFESA,16477,160364,Cmdo 3ª Bda C Mec
AGGC,604,160374,AGGC
AGITEC,39883,160291,CTEx
AGR,703,160005,54º BIS
AGSP,802,160006,1º BIS (Amv)
AHEx,513,160004,59º BI Mtz
AMAN,109,160001,7º BEC
B Adm Ap / CMO,1321,160530,Ba Adm Ap / CMO
B Adm Ap / Ibirapuera,1214,160016,Cmdo CMA
B Adm Ap/12ª RM,1537,160014,Cmdo 12ª RM
B Adm Ap/5ª RM,1446,160045,Ba Adm / Gu F
B Ap Op Esp,12567,160239,H Mil de Resende
B Ap R Bauru,17707,160378,16º Esqd C Mec
B Ap R Ribeirão Preto,17608,160377,8º Esqd C Mec
B Ap R Sorocaba,18507,160379,9º BI Mtz
B Av T,1115,160011,4º CGEO
B DOMPSA,2352,160059,BGP
B Es Com,4218,160084,CMR
